Name,URL,Cuisine,Ingredients,key_ingredients
Best Vinegar Coleslaw,https://www.allrecipes.com/recipe/59318/amish-slaw/,Amish and Mennonite,1 large head cabbage cored and finely shredded 1 medium onion thinly sliced 1 cup white sugar 34 cup vinegar 13 cup vegetable oil 2 teaspoons celery seed 1 14 teaspoon salt 1 teaspoon prepared mustard 14 teaspoon black pepper,"['cabbage', 'celery', 'onion', 'sugar']"
Pennsylvania Dutch Pickled Beets and Eggs,https://www.allrecipes.com/recipe/13743/pennsylvania-dutch-pickled-beets-and-eggs/,Amish and Mennonite,8 large eggs 2 15 ounce cans whole pickled beets juice reserved 1 small onion chopped 1 cup white sugar ¾ cup cider vinegar 12  whole cloves 2  bay leaves ½ teaspoon salt 1 pinch ground black pepper,"['onion', 'beet', 'eggs', 'sugar']"
Amish Macaroni Salad,https://www.allrecipes.com/recipe/74915/amish-macaroni-salad/,Amish and Mennonite,2 cups uncooked elbow macaroni 3 large hardcooked eggs chopped 1 small onion chopped 3 stalks celery chopped 1 small red bell pepper seeded and chopped 2 tablespoons dill pickle relish 2 cups creamy salad dressing eg Miracle Whip ¾ cup white sugar 3 tablespoons prepared yellow mustard 2 ¼ teaspoons white vinegar ¾ teaspoon celery seed ¼ teaspoon salt,"['celery', 'onion', 'bell pepper', 'eggs', 'sugar']"
Amish Friendship Bread Starter,https://www.allrecipes.com/recipe/7063/amish-friendship-bread-starter/,Amish and Mennonite,1 25 ounce package active dry yeast ¼ cup warm water 110 degrees F45 degrees C 3 cups allpurpose flour divided 3 cups white sugar divided 3 cups milk divided,"['milk', 'flour', 'sugar']"
My Amish Friend's Caramel Corn,https://www.allrecipes.com/recipe/74950/my-amish-friends-caramel-corn/,Amish and Mennonite,7 quarts plain popped popcorn 2 cups dry roasted peanuts Optional 2 cups brown sugar 1 cup margarine ½ cup light corn syrup 1 teaspoon salt 1 teaspoon vanilla extract ½ teaspoon baking soda,"['corn', 'sugar']"
Pennsylvania Dutch Corn Pie,https://www.allrecipes.com/recipe/85166/pennsylvania-dutch-corn-pie/,Amish and Mennonite,1 large potato peeled and chopped 1 15 ounce can whole kernel corn drained 1 15 ounce can creamstyle corn 3 large hardcooked eggs chopped ½ cup milk   salt and pepper to taste 1 tablespoon butter 1 141ounce doublecrust pie pastry thawed,"['potato', 'corn', 'eggs', 'milk', 'butter']"
Amish Peanut Butter,https://www.allrecipes.com/recipe/140605/amish-peanut-butter/,Amish and Mennonite,1 cup light corn syrup ½ cup peanut butter smooth ¼ cup marshmallow creme,"['corn', 'butter']"
Amish Meatloaf,https://www.allrecipes.com/recipe/65250/amish-meatloaf/,Amish and Mennonite,2 pounds ground beef 2 ½ cups crushed butterflavored crackers 1 small onion chopped 2  eggs ¾ cup ketchup ¼ cup brown sugar 2 slices bacon 1 cup ketchup 2 tablespoons vinegar ¾ teaspoon salt or to taste 2 tablespoons prepared yellow mustard ½ cup brown sugar,"['onion', 'eggs', 'beef', 'butter', 'sugar']"
Amish Potato Salad,https://www.allrecipes.com/recipe/73875/amish-potato-salad/,Amish and Mennonite,6 medium white potatoes with skin 1 small onion finely chopped 1 cup chopped celery 1 cup chopped carrots 1 teaspoon celery seed 4  hardcooked eggs peeled and chopped 2  eggs beaten ¾ cup white sugar 1 teaspoon cornstarch ½ teaspoon salt ⅓ cup apple cider vinegar ½ cup milk 1 teaspoon prepared yellow mustard 3 tablespoons butter 1 cup mayonnaise or salad dressing,"['celery', 'onion', 'carrot', 'potato', 'corn', 'apple', 'eggs', 'milk', 'butter', 'sugar']"
Amish Friendship Bread I,https://www.allrecipes.com/recipe/6856/amish-friendship-bread-i/,Amish and Mennonite,1 cup Amish Friendship Bread Starter see footnote for recipe link ⅔ cup vegetable oil 3  eggs 2 cups allpurpose flour 1 cup white sugar 1 teaspoon ground cinnamon ½ teaspoon salt ½ teaspoon baking soda 1 ¼ teaspoons baking powder 1 teaspoon vanilla extract,"['eggs', 'flour', 'sugar']"
Amish Buttered Egg Noodles,https://www.allrecipes.com/recipe/276198/amish-buttered-egg-noodles/,Amish and Mennonite,2 tablespoons butter 2 14 ounce cans chicken broth 1 teaspoon chicken bouillon granules 1 12 ounce package egg noodles,"['chicken', 'butter']"
Amish Sugar Cakes,https://www.allrecipes.com/recipe/20967/amish-sugar-cakes/,Amish and Mennonite,1 cup butter flavored shortening 2 cups white sugar 3  eggs 1 ½ teaspoons vanilla extract 3 ½ cups allpurpose flour 1 tablespoon baking powder 1 teaspoon baking soda 1 teaspoon cream of tartar 1 pinch salt 1 cup buttermilk ¼ cup white sugar,"['eggs', 'milk', 'butter', 'flour', 'sugar']"
Amish Casserole,https://www.allrecipes.com/recipe/93223/amish-casserole/,Amish and Mennonite,1 pound ground beef 1 1075 ounce can condensed tomato soup ¼ cup brown sugar ⅛ teaspoon black pepper ¼ teaspoon salt 1 1075 ounce can condensed cream of chicken soup 1 12 ounce package wide egg noodles 10 slices American cheese,"['tomato', 'chicken', 'beef', 'cheese', 'sugar']"
Herman Sourdough Starter,https://www.allrecipes.com/recipe/7160/herman-sourdough-starter/,Amish and Mennonite,2 ¼ teaspoons active dry yeast 2 cups warm water 110 degrees F45 degrees C 2 cups allpurpose flour ¼ cup white sugar 1 cup white sugar divided 2 cups allpurpose flour divided 2 cups milk divided,"['milk', 'flour', 'sugar']"
Ground Cherry Pie II,https://www.allrecipes.com/recipe/12671/ground-cherry-pie-ii/,Amish and Mennonite,2 ½ cups ground cherries ½ cup packed brown sugar 1 tablespoon allpurpose flour 2 tablespoons water 1 9 inch pie shell 3 tablespoons allpurpose flour 3 tablespoons white sugar 2 tablespoons butter,"['cherries', 'butter', 'flour', 'sugar']"
Portzelky (New Year's Cookies),https://www.allrecipes.com/recipe/230522/portzelky-new-years-cookies/,Amish and Mennonite,1 teaspoon white sugar ½ cup lukewarm water 1 25 ounce package active dry yeast 2 cups raisins 3 large eggs 1 cup lukewarm milk ½ teaspoon salt 3 cups allpurpose flour or as needed 1 quart vegetable oil for frying 2 tablespoons confectioners sugar for dusting or as needed,"['eggs', 'milk', 'flour', 'sugar']"
Amish Peach Dumplings,https://www.allrecipes.com/recipe/238197/amish-peach-dumplings/,Amish and Mennonite,2 cups hot water 1 cup sugar 1 tablespoon butter 2 cups sliced peeled peaches 1 cup flour 2 teaspoons baking powder ½ teaspoon salt 1 cup milk,"['peach', 'milk', 'butter', 'flour', 'sugar']"
Amish Bread,https://www.allrecipes.com/recipe/22451/amish-bread/,Amish and Mennonite,2 ¾ cups bread flour ¼ cup canola oil 1 teaspoon active dry yeast ¼ cup white sugar ½ teaspoon salt 1 ⅛ cups warm water or more as needed,"['flour', 'sugar']"
Amish Custard Cottage Cheese Pie,https://www.allrecipes.com/recipe/12687/amish-custard-cottage-cheese-pie/,Amish and Mennonite,1 16 ounce package small curd cottage cheese 1 cup white sugar 3 tablespoons allpurpose flour 1 teaspoon fresh lemon juice 1 pinch salt 3  egg yolks 3  egg whites 1 12 fluid ounce can evaporated milk 1 ½ cups milk 2 9 inch pie shell,"['milk', 'cheese', 'flour', 'sugar']"
